,WWSH_WWSH_0,WSPD_WSPD_30min_0,WSPD_WSPD_30min_1,WSPD_WSPD_30min_2,WSPD_WSPD_30min_3
2018-02-25 12:59:00.000477,0.1899999976158142,12.3948,11.2212,11.394,13.5
2018-02-25 14:59:00.000480,0.2199999988079071,8.172,10.4112,9.9612,10.8576
2018-02-25 16:59:00.000483,0.25999999046325684,10.5228,13.1292,10.5552,9.7776
2018-02-25 18:59:00.000486,0.23000000417232513,13.3056,13.3524,9.5076,10.5804
2018-02-25 20:59:00.000489,0.3100000023841858,18.612,16.1064,15.192,15.4404
2018-02-25 22:59:00.000492,0.3100000023841858,13.716,15.2244,16.2504,17.3988
2018-02-26 00:59:00.000495,0.2800000011920929,7.6428,11.0808,11.8188,12.7512
2018-02-26 02:59:00.000498,0.27000001072883606,6.0588,6.3756,7.74,6.5844
2018-02-26 04:59:00.000501,0.27000001072883606,6.2424,6.822,7.7616,5.2632
2018-02-26 06:59:00.000504,0.27000001072883606,3.1212,4.9104,6.2352,5.418
2018-02-26 08:59:00.000507,0.25,10.8648,8.6724,8.0892,5.3388
2018-02-26 10:59:00.000510,0.3100000023841858,14.2632,14.0688,12.2472,10.1232
2018-02-26 12:59:00.000513,0.41999998688697815,15.9156,13.9104,14.7456,13.7448
2018-02-26 14:59:00.000516,0.4300000071525574,10.2024,10.5516,12.4092,13.0248
2018-02-26 16:59:00.000519,0.38999998569488525,11.8152,9.396,8.6436,10.6056
2018-02-26 18:59:00.000522,0.36000001430511475,10.4004,12.2436,12.3012,12.4596
2018-02-26 20:59:00.000525,0.2800000011920929,13.2732,14.5692,11.4156,9.5292
2018-02-26 22:59:00.000528,0.3199999928474426,9.8028,12.3516,13.2588,13.932
2018-02-27 00:59:00.000531,0.33000001311302185,11.5092,8.7552,8.7696,10.8144
2018-02-27 02:59:00.000534,0.3700000047683716,16.902,13.0788,13.0104,12.6756
2018-02-27 04:59:00.000537,0.36000001430511475,18.6768,18.9792,17.2332,17.1684
2018-02-27 06:59:00.000540,0.3199999928474426,5.886,12.8556,17.8668,16.866
2018-02-27 08:59:00.000543,0.20999999344348907,7.9308,9.9072,3.9708,2.7936
2018-02-27 10:59:00.000546,0.18000000715255737,14.868,14.8968,13.4424,7.6356
2018-02-27 12:59:00.000549,0.27000001072883606,14.5152,14.7312,14.166,14.1048
2018-02-27 14:59:00.000552,0.2800000011920929,14.0436,14.2848,13.1436,13.3236
2018-02-27 16:59:00.000555,0.3400000035762787,12.7908,12.942,12.1032,13.7628
2018-02-27 18:59:00.000558,0.3499999940395355,7.614,6.7572,7.4628,9.9576
2018-02-27 20:59:00.000561,0.25999999046325684,6.9372,6.948,6.6672,6.282
2018-02-27 22:59:00.000564,0.25,7.5348,6.9552,8.1,8.7912
2018-02-28 00:59:00.000567,0.23999999463558197,7.1856,5.5728,6.1308,7.0992
2018-02-28 02:59:00.000570,0.23999999463558197,4.968,2.5812,3.0564,6.3972
2018-02-28 04:59:00.000573,0.20999999344348907,13.0608,11.9916,12.3444,8.9172
2018-02-28 06:59:00.000576,0.2199999988079071,16.0632,14.6124,13.9608,14.3892
2018-02-28 08:59:00.000579,0.23999999463558197,12.4632,13.158,14.5512,14.4792
2018-02-28 10:59:00.000582,0.27000001072883606,18.522,13.752,10.6776,12.6288
2018-02-28 12:59:00.000585,0.28999999165534973,13.0608,11.9196,13.3236,16.326
2018-02-28 14:59:00.000588,0.2800000011920929,12.618,12.0024,11.2176,11.5452
2018-02-28 16:59:00.000591,0.7099999785423279,42.444,12.078,10.3248,9.3168
2018-02-28 18:59:00.000594,,20.3328,21.582,29.484,33.84
2018-02-28 20:59:00.000597,,17.4996,13.6512,15.2676,16.002
