,WWSH_WWSH_0,WSPD_WSPD_30min_0,WSPD_WSPD_30min_1,WSPD_WSPD_30min_2,WSPD_WSPD_30min_3
2018-06-10 16:59:00.004263,0.03999999910593033,11.2752,10.0944,7.7868,5.1552
2018-06-10 18:59:00.004266,0.0,11.2032,11.682,12.9852,10.3212
2018-06-10 20:59:00.004269,0.0,14.8068,10.2096,10.386,9.5076
2018-06-10 22:59:00.004272,0.03999999910593033,15.5376,13.7808,11.9304,15.9768
2018-06-11 00:59:00.004275,0.029999999329447746,19.7316,16.0704,11.4804,11.988
2018-06-11 02:59:00.004278,0.2199999988079071,5.3892,3.9204,6.4512,12.1284
2018-06-11 04:59:00.004281,0.25999999046325684,11.1888,8.856,6.3828,6.0372
2018-06-11 06:59:00.004284,0.4399999976158142,12.582,15.066,13.2588,11.502
2018-06-11 08:59:00.004287,0.36000001430511475,15.2928,16.3656,14.9544,12.4884
2018-06-11 10:59:00.004290,0.3199999928474426,9.2304,12.5172,13.9644,13.7844
2018-06-11 12:59:00.004293,0.17000000178813934,9.2232,8.586,4.0788,5.8824
2018-06-11 14:59:00.004296,0.05999999865889549,13.1004,11.898,9.0684,8.9316
2018-06-11 16:59:00.004299,0.0,8.8236,8.6112,9.1764,12.0744
2018-06-11 18:59:00.004302,0.05000000074505806,10.6128,7.7832,8.3736,6.6024
2018-06-11 20:59:00.004305,0.07000000029802322,10.7208,11.124,11.4948,12.5244
2018-06-11 22:59:00.004308,0.05000000074505806,14.2236,11.4876,10.4724,11.0304
2018-06-12 00:59:00.004311,0.03999999910593033,12.4416,9.4644,8.298,12.9384
2018-06-12 02:59:00.004314,0.05000000074505806,11.0304,10.6092,8.6868,13.0536
2018-06-12 04:59:00.004317,0.4399999976158142,12.4776,10.4868,10.9224,12.6288
2018-06-12 06:59:00.004320,0.44999998807907104,17.802,17.208,17.244,12.888
2018-06-12 08:59:00.004323,0.5400000214576721,19.17,19.2996,14.3316,16.2396
2018-06-12 10:59:00.004326,0.36000001430511475,13.2876,15.966,18.36,19.458
2018-06-12 12:59:00.004329,0.23999999463558197,14.4324,16.254,14.1336,13.1328
2018-06-12 14:59:00.004332,0.15000000596046448,3.1716,2.8152,4.5036,13.032
2018-06-12 16:59:00.004335,0.03999999910593033,6.5448,6.498,3.186,5.5836
2018-06-12 18:59:00.004338,0.23000000417232513,4.6188,8.0676,8.118,6.7968
2018-06-12 20:59:00.004341,0.05000000074505806,10.9584,9.8208,8.9316,5.4144
2018-06-12 22:59:00.004344,0.05999999865889549,5.3028,6.1452,5.7708,8.7372
2018-06-13 00:59:00.004347,0.05999999865889549,7.7292,8.5284,8.136,5.0004
2018-06-13 02:59:00.004350,0.019999999552965164,9.468,5.3712,2.5272,5.5332
2018-06-13 04:59:00.004353,0.05999999865889549,5.4828,4.572,6.3792,8.7804
2018-06-13 06:59:00.004356,0.05999999865889549,16.1028,15.7824,9.0648,7.2648
2018-06-13 08:59:00.004359,0.3400000035762787,8.982,7.4952,9.4824,15.246
2018-06-13 10:59:00.004362,0.28999999165534973,3.168,4.3776,10.3248,13.5216
2018-06-13 12:59:00.004365,0.20999999344348907,6.264,7.5024,8.64,4.1076
2018-06-13 14:59:00.004368,0.07000000029802322,2.9808,2.7468,5.958,7.0776
2018-06-13 16:59:00.004371,0.05999999865889549,2.8512,3.06,2.3688,3.132
2018-06-13 18:59:00.004374,0.05000000074505806,4.8168,7.0416,4.2912,4.0896
2018-06-13 20:59:00.004377,0.05000000074505806,4.068,2.9124,3.5748,6.8832
2018-06-13 22:59:00.004380,0.05000000074505806,7.6716,8.46,6.1416,4.3164
2018-06-14 00:59:00.004383,0.09000000357627869,9.8244,10.5948,9.1404,8.2584
2018-06-14 02:59:00.004386,0.03999999910593033,12.2076,8.7588,10.6992,8.4708
2018-06-14 04:59:00.004389,0.05000000074505806,10.62,11.43,14.5368,12.6936
2018-06-14 06:59:00.004392,0.23000000417232513,17.8092,16.434,16.5636,16.7112
2018-06-14 08:59:00.004395,0.28999999165534973,14.7564,18.3132,17.3628,17.2332
2018-06-14 10:59:00.004398,0.33000001311302185,5.328,2.574,6.75,7.776
2018-06-14 12:59:00.004401,0.25,11.7756,9.4644,7.8156,6.9624
2018-06-14 14:59:00.004404,0.07999999821186066,5.9832,6.6168,7.0524,9.4392
2018-06-14 16:59:00.004407,0.05999999865889549,8.9928,7.9236,3.4632,4.2372
2018-06-14 18:59:00.004410,0.30000001192092896,17.2224,16.9488,15.0228,12.87
2018-06-14 20:59:00.004413,0.3100000023841858,11.808,15.0948,13.7304,15.3648
2018-06-14 22:59:00.004416,0.1599999964237213,17.0316,14.4288,10.5984,10.6452
2018-06-15 00:59:00.004419,0.20999999344348907,20.5776,16.1136,14.7492,15.7284
2018-06-15 02:59:00.004422,0.36000001430511475,21.834,22.9896,27.0936,26.604
2018-06-15 04:59:00.004425,0.46000000834465027,19.0368,19.7028,21.1788,24.552
2018-06-15 06:59:00.004428,0.699999988079071,27.9288,23.472,17.874,11.5488
2018-06-15 08:59:00.004431,0.8399999737739563,28.98,30.132,29.772,28.3536
2018-06-15 10:59:00.004434,0.49000000953674316,22.554,24.4476,18.5148,25.6032
2018-06-15 12:59:00.004437,0.4099999964237213,11.0772,9.7236,14.6196,19.1664
2018-06-15 14:59:00.004440,0.25999999046325684,8.424,8.9136,9.9972,10.0044
2018-06-15 16:59:00.004443,0.05999999865889549,9.8928,5.238,5.7672,6.8904
2018-06-15 18:59:00.004446,0.03999999910593033,10.5048,12.6252,12.6,11.502
2018-06-15 20:59:00.004449,0.07999999821186066,19.7748,14.4828,11.5596,9.9828
2018-06-15 22:59:00.004452,0.3499999940395355,24.2388,22.4712,23.256,21.2112
2018-06-16 00:59:00.004455,0.4099999964237213,27.4176,25.1352,27.018,27.0036
2018-06-16 02:59:00.004458,0.6499999761581421,31.896,33.408,33.048,29.772
2018-06-16 04:59:00.004461,0.5,23.8752,23.4612,26.4132,31.176
2018-06-16 06:59:00.004464,0.5,22.0212,16.4808,13.1904,18.792
2018-06-16 08:59:00.004467,0.49000000953674316,24.6096,25.4808,23.2632,24.2748
2018-06-16 10:59:00.004470,0.38999998569488525,9.09,14.1732,18.4896,22.6476
2018-06-16 12:59:00.004473,0.20000000298023224,6.3648,5.1588,5.076,5.6628
2018-06-16 14:59:00.004476,0.14000000059604645,6.318,6.6348,6.6744,6.0912
2018-06-16 16:59:00.004479,0.11999999731779099,19.4508,14.5908,13.7016,10.0764
2018-06-16 18:59:00.004482,0.5199999809265137,27.9684,30.888,23.3388,24.0012
